#separator:tab
#html:true
#tags column:52
bem-disposto, bem-disposta	"<img src=""_bem-disposta_acordar.JPG"">"	bem-disposto, bem-disposta	bem-disposto, bem-disposta	/bɐ̃j-dɨʃ.ˈpoʃ.tu/ ,  /bɐ̃j-dɨʃ.ˈpoʃ.tɐ/	/ bẽdʒisˈpɔstu | bẽdʒisˈpɔstɐ /	adj m, adj f	<div>1.&nbsp;Que&nbsp;tem&nbsp;boa&nbsp;disposição&nbsp;ou&nbsp;bom&nbsp;humor.</div><div>2.&nbsp;Que&nbsp;está&nbsp;bem&nbsp;de&nbsp;saúde.</div>		good-spirited	/ˈɡʊdˈspɪrətəd/	/ˈɡʊdˈspɪrɪtɪd/				con ánimos (salud), alegre							de bonne humeur						fröhlich						bendispost						ben disposto											Portugues::Adjetivos Portugues::Curso::1A2::Livro_O_Alienista Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Pessoas::Carácter Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Saude Vocabulary::Health
colocar um penso	"<img src=""_poner_um_penso.JPG"">"	colocar um penso	colocar um penso	/kuluˈkaɾ ˈũ ˈpẽsu/	/koloˈkaʁ ˈũ ˈpẽsu/	exp			apply a bandage						poner un vendaje						mettre un bandage						einen Verband anlegen						posar un embenat						mettere una benda												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Saude Vocabulary::Health
caiu e partiu o braço	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	caiu e partiu o braço	caiu e partiu o braço	/ˈkajw i pɐɾˈtiw u ˈbɾasu/	/ˈkajw i paʁˈtʃiw u ˈbɾasu/	exp			fell and broke his arm						cayó y se rompió el brazo						il est tombé et s'est cassé le bras						er ist gefallen und hat sich den Arm gebrochen						va caure i s'ha trencat el braç						è caduto e si è rotto il braccio												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Saude Vocabulary::Health
anda com yeso	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	anda com yeso	anda com yeso	/ˈɐ̃dɐ ˈkõ ˈɛzu/	/ˈɐ̃dɐ ˈkõ ˈɛzu/	exp			walk with a cast						anda con yeso						marcher avec un plâtre						mit einem Gips laufen						camina amb guix						cammina con il gesso												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Corpo_Saude::Feridas Portugues::Vocabulario::Corpo_Saude::Tratamento Portugues::Vocabulario::Saude Vocabulary::Health
cai e magoei o joelho	"<img src=""_lastimar_rodilla_hurt_knee.JPG"">"	cai e magoei o joelho	cai e magoei o joelho	/ˈkaj i mɐɡuˈɐj u ʒuˈɐʎu/	/ˈkaj i maɡoˈej u ʒoˈeʎu/	exp			I fell and hurt the knee						caí y me lastimé la rodilla						tomber et se blesser au genou						fallen und sich das Knie verletzen						caure i ferir-se el genoll						cadere e ferire il ginocchio												Portugues::Curso::1A2 Portugues::Frases Portugues::Vocabulario::Corpo_Saude::Feridas Portugues::Vocabulario::Saude Vocabulary::Health
magoar-se	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	magoar-se	magoar-se	/mɐɡuˈaɾsɨ/	/maɡoˈaʁsi/	v			to hurt oneself						"lastimarse (con ""m"")"						se blesser						sich verletzen						ferir-se						ferirsi												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Saude Vocabulary::Health
está a deitar sangue	"<img src=""_esta_deitar_sangue_sangrando_bleeding.JPG"">"	está a deitar sangue	está a deitar sangue	/ˈʃta ɐ dɐjˈtaɾ ˈsɐ̃ɡɨ/	/isˈta a dejˈtaʁ ˈsɐ̃ɡi/	exp			is bleeding						está sangrando						il saigne						blutet						està sagnant						sta sanguinando												Portugues::Curso::1A2 Portugues::Frases Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Corpo_Saude::Feridas Portugues::Vocabulario::Saude Vocabulary::Health
tosse às vezes	"<img src=""_tosser.gif"">"	tosse às vezes	tosse às vezes	/ˈtɔsɨ ˈaʒ ˈvɛzɨʃ/	/ˈtɔsi ˈas ˈvɛzes/	exp			coughs sometimes						tose a veces						tousse parfois						hustet manchmal						tossa a vegades						tosse a volte												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude::Sintomas Portugues::Vocabulario::Saude Vocabulary::Health
tem dor de garganta	"<img src=""_dor_garganta.JPG"">"	tem dor de garganta	tem dor de garganta	/ˈtɐ̃j̃ ˈdoɾ dɨ ɡɐɾˈɡɐ̃tɐ/	/ˈtẽj̃ ˈdoʁ dʒi ɡaʁˈɡɐ̃tɐ/	exp			has a sore throat						tiene dolor de garganta						a mal à la gorge						halsweh						te mal de coll						ha mal di gola												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Saude Vocabulary::Health
para apanhar sol precisa de protetor solar	"<img src=""_protetor_solar.JPG"">"	para apanhar sol precisa de protetor solar	para apanhar sol precisa de protetor solar	/pɐɾɐ ɐpɐˈɲaɾ ˈsɔɫ pɾɨˈsizɐ dɨ pɾutɨˈtoɾ suˈlaɾ/	/paɾɐ apɐˈɲaʁ ˈsɔw pɾeˈsizɐ dʒi pɾoteˈtoʁ soˈlaʁ/	exp			to sunbathe needs sunscreen						para tomar el sol necesita protector solar						pour bronzer a besoin de crème solaire						um sich zu sonnen, braucht Sonnenschutz						fer-se necessitar protecció solar						per prendere il sole serve la crema solare												Portugues::Curso::1A2 Portugues::Frases Portugues::Vocabulario::Actividades::Praia Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Corpo_Saude::Tratamento Portugues::Vocabulario::Saude Vocabulary::Health
contratura	"<img src=""_contratura_contractura.JPG"">"	contratura	a contratura	/ɐ kõtɾɐˈtuɾɐ/	/a kõtɾaˈtuɾɐ/	sf			contracture						contractura						contracture						Kontraktur						contractura						contrattura												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude::Feridas Portugues::Vocabulario::Saude Vocabulary::Health
ter / dar um jeito	"<img src=""_dar_um_jeito.JPG"">"	ter / dar um jeito	ter / dar um jeito	/ˈteɾ | ˈdaɾ ˈũ ˈʒɐjtu/	/ˈteʁ | ˈdaʁ ˈũ ˈʒejtu/	exp			to pull a muscle						tener/sufrir una contractura																																				Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude::Feridas Portugues::Vocabulario::Saude Vocabulary::Health
ampolas	"<img src=""_ampolas_ampolletas.JPG"">"	ampolas	as ampolas	/ɐz ɐ̃ˈpɔlɐʃ/	/az ɐ̃ˈpɔlas/	sfp	Tubo&nbsp;pequeno,&nbsp;fechado,&nbsp;que&nbsp;contém&nbsp;líquido&nbsp;no&nbsp;seu&nbsp;interior.		blisters						ampollas						ampoules						Blasen						ampolles						vesciche												Portugues::Curso::1A2 Portugues::Falso_Amigo Portugues::Vocabulario::Corpo_Saude::Medicinas Portugues::Vocabulario::Saude Vocabulary::Health
feridas	"<img src=""_feridas.JPG"">"	feridas	as feridas	/ɐʃ fɨˈɾidɐʃ/	/aʃ feˈɾidas/	sfp			wounds						heridas						blessures						Wunden						ferides						ferite												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Corpo_Saude::Feridas Portugues::Vocabulario::Saude Vocabulary::Health
dor de pés	"<img src=""_dor_de_pes_dolor_de_pies.JPG"">"	dor de pés	a dor de pés	/ɐ ˈdoɾ dɨ ˈpɛʃ/	/a ˈdoʁ dʒi ˈpɛs/	sf			foot pain						dolor de pies						douleur aux pieds						Fußschmerzen						dolor als peus						dolore ai piedi												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Corpo_Saude::Feridas Portugues::Vocabulario::Saude Vocabulary::Health
fiz um entorse	"<img src=""_torceu_um_pe.JPG"">"	fiz um entorse	fiz um entorse	/ˈfiʃ ˈũ ẽˈtɔɾsɨ/	/ˈfiʃ ˈũ ẽˈtɔʁsi/	exp			I sprained						me hice un esguince, me torcí						je me suis foulé						ich habe mich verstaucht						m'he fet un esquinç						mi sono slogato												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Corpo_Saude::Feridas Portugues::Vocabulario::Saude Vocabulary::Health
dor de estômago	"<img src=""_stomach_ache.jpg"">"	dor de estômago	a dor de estômago	/ɐ ˈdoɾ dɨ ˈʃtomɐɡu/	/a ˈdoʁ dʒi isˈtomaɡu/	sf			stomach pain						dolor de estómago						douleur d'estomac						Bauchschmerzen						dolor d'estómac						dolore di stomaco												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Corpo_Saude::Doencias Portugues::Vocabulario::Saude Vocabulary::Health
diarrea	"<img src=""_diarrea.jpg"">"	diarrea	a diarrea	/ɐ diɐˈʁɛɐ/	/a dʒiaˈʁɛɐ/	sf			diarrhea						diarrea						diarrhée						Durchfall						diarrea						diarrea												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Saude Vocabulary::Health
xarope para tosse	"<img src=""_xarope_tosse.JPG"">"	xarope para tosse	o xarope para tosse	/u ʃɐˈɾɔpɨ pɐɾɐ ˈtɔsɨ/	/u ʃaˈɾɔpi paɾɐ ˈtɔsi/	sm			cough syrup						jarabe para la tos						sirop pour la toux						Hustensaft						almívar per a la tos						sciroppo per la tosse												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Corpo_Saude::Medicinas Portugues::Vocabulario::Saude Vocabulary::Health
ter febre	"<img src=""_ter_febre.JPG"">"	ter febre	ter febre	/ˈteɾ ˈfɛbɾɨ/	/ˈteʁ ˈfɛbɾi/	v			to have a fever						tener fiebre						avoir de la fièvre						Fieber haben						tenir febre						avere la febbre												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Corpo_Saude::Doencias Portugues::Vocabulario::Corpo_Saude::Sintomas Portugues::Vocabulario::Saude Vocabulary::Health
gripe	"<img src=""_resfriados.JPG"">"	gripe	a gripe	/ɐ ˈɡɾipɨ/	/a ˈɡɾipi/	sf			flu						gripe						grippe						Grippe						grip						influenza												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Saude Vocabulary::Health
ir ao médico	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	ir ao médico	ir ao médico	/ˈiɾ ɐu ˈmɛdiku/	/ˈiʁ au ˈmɛdʒiku/	exp			go to the doctor						ir al médico						aller chez le médecin						zum Arzt gehen						anar al metge						andare dal medico												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo_Saude Portugues::Vocabulario::Saude Vocabulary::Health
