calão		calão	o calão	/u kɐˈlɐ̃w̃/	/u kaˈlɐ̃w̃/	sm	Linguagem informal ou gíria, muitas vezes grosseira usada em certos grupos sociais ou região.		slang	/ˈslæŋ/	/ˈslæŋ/	n	Informal or colloquial language, often specific to a social group or region.		argot						argo						Jargon						argot						gergo												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC
velhotes		velhotes	os velhotes	/uʒ vɨˈʎɔtɨʃ/	/uʒ veˈʎɔtes/	smp	Pessoas idosas, muitas vezes usado de forma carinhosa.		old folks	/ˈoʊld ˈfoʊks/	/ˈəʊld ˈfəʊks/	n	Elderly people, often used affectionately.		ancianos						vieux						alte Leute						vells						anziani												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC Portugues::VOC::Pessoas::Descripçao Vocabulary::People::Age
velhote, velhota		velhote, velhota	o velhote, a velhota	/u vɨˈʎɔtɨ | ɐ vɨˈʎɔtɐ/	/u veˈʎɔtʃi | a veˈʎɔtɐ/	s m/f	Pessoa idosa, pode ser usado de forma carinhosa ou pejorativa.		old man, old woman	/ˈoʊld ˈmæn | ˈoʊld ˈwʊmən/	/ˈəʊld ˈmæn | ˈəʊld ˈwʊmən/	n	An elderly person, can be used affectionately or pejoratively.		anciano, anciana						vieillard, vieille						alter Mann, alte Frau						vell, vella						anziano, anziana												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC Portugues::VOC::Pessoas::Descripçao Vocabulary::People::Age
Copenhaga		Copenhaga	Copenhaga	/kupɨˈɲaɡɐ/	/kopeˈɲaɡɐ/	sf	Capital da Dinamarca.		Copenhagen	/ˌkoʊpənˈheɪɡən/	/ˌkəʊpənˈheɪɡən/	n	The capital of Denmark.		Copenhague						Copenhague						Kopenhagen						Copenhaguen						Copenaghen												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC
não me admira		não me admira	não me admira	/ˈnɐ̃w̃ ˈmɛ ɐˈdmiɾɐ/	/ˈnɐ̃w̃ ˈmɛ adʒiˈmiɾɐ/	exp	Não me surpreende.		it doesn’t surprise me	/ɪt ˈdəzn̩t sə˞ˈpɹaɪz ˈmi/	/ɪt ˈdʌzᵊnt səˈpraɪz ˈmiː/	exp	An expression meaning something is not unexpected.		no me sorprende						ça ne m’étonne pas						mich wundert es nicht						no em sorprén						non mi sorprende												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC
responsável por (pelo, pela)		responsável por (pelo, pela)	responsável por (pelo, pela)	/ʁɨʃpõˈsavɛɫ puɾ | ˈpɛlu | ˈpɛlɐ |/	/ʁespõˈsavɛw puʁ | ˈpɛlu | ˈpɛlɐ |/	adj m/f	Que tem a responsabilidade sobre algo.		responsible for	/ɹɪˈspɑnsəbəl ˈfɔr/	/rɪˈspɒnsɪbᵊl ˈfɔː/	adj	Having responsibility for something.		responsable de						responsable de						verantwortlich für						responsable de						responsabile di												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC
Não se importar (não me importo)		Não se importar (não me importo)	Não se importar (não me importo)	/ˈnɐ̃w̃ sɨ ĩpuɾˈtaɾ | ˈnɐ̃w̃ ˈmɛ ĩˈpɔɾtu |/	/ˈnɐ̃w̃ si ĩpoʁˈtaʁ | ˈnɐ̃w̃ ˈmɛ ĩˈpɔʁtu |/	exp	Não dar importância a algo.		not to care	/ˈnɑt tə ˈkʰɛr/	/ˈnɒt tə ˈkʰeə/	exp	To not give importance to something.		no importarle						ne pas se soucier						sich nicht kümmern						no importar-se						non importare												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC Vocabulary::Give-a-Damn
importas-te?		importas-te?	importas-te?	/ĩpuɾˈtastɨ ‖/	/ĩpoʁˈtastʃi ‖/	exp	Pergunta para saber se algo incomoda alguém.		do you mind?	/ˈdu jə ˈmaɪnd ‖/	/ˈduː jə ˈmaɪnd ‖/	exp	A question used to ask if something is bothersome.		¿te importa?						ça te dérange?						stört es dich?						t’importa?						ti dispiace?												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC Vocabulary::Give-a-Damn
estar de olhos		estar de olhos	estar de olhos	/ˈʃtaɾ dɨ ˈɔʎuʃ/	/isˈtaʁ dʒi ˈɔʎus/	exp	Estar atento ou interessado em algo.		to be watching	/tə ˈbi ˈwɑtʃɪŋ/	/tə ˈbiː ˈwɒtʃɪŋ/	v	To be attentive or interested in something.		estar atento						être attentif						aufpassen						estar atent						essere attento												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::Frases::Olhar Portugues::VOC Vocabulary::Give-a-Damn
tanto faz		tanto faz	tanto faz	/ˈtɐ̃tu ˈfaʃ/	/ˈtɐ̃tu ˈfaʃ/	exp	Não ter preferência.		it doesn’t matter	/ɪt ˈdəzn̩t ˈmætə˞/	/ɪt ˈdʌzᵊnt ˈmætə/	exp	To not have a preference.		me da igual						peu importe						egal						tant se val						non importa												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC
com jeito		com jeito	com jeito	/ˈkõ ˈʒɐjtu/	/ˈkõ ˈʒejtu/	exp	Com cuidado, habilidade ou delicadeza.		with care	/ˈwɪθ ˈkʰɛr/	/wɪð ˈkʰeə/	exp	With attention, skill, or delicacy.		con cuidado						avec soin						mit Vorsicht						amb cura						con cura												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC
criminoso		criminoso	o criminoso, a criminosa	/u kɾimiˈnɔzu | ɐ kɾimiˈnɔzɐ/	/u kɾimiˈnɔzu | a kɾimiˈnɔzɐ/	s m/f	Pessoa que comete crimes.		criminal	/ˈkɹɪmənl̩/	/ˈkrɪmɪnəl/	n	A person who commits crimes.		criminal						criminel						Krimineller						criminal						criminale												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC
possar (os papeis)		possar (os papeis)	possar (os papéis)	/puˈsaɾ | uʃ pɐˈpɛjʃ |/	/poˈsaʁ | uʃ paˈpɛjs |/	v	Ter posse de algo, assumir um papel.		to take on (roles)	/tə ˈtʰeɪk ˈɔn | ˈɹoʊlz |/	/tə ˈtʰeɪk ɒn | ˈrəʊlz |/	v	To assume a role or responsibility.		asumir						take on						übernehmen						assumir						assumere												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC
regime (histórico)		regime (histórico)	o regime	/u ʁɨˈʒimɨ/	/u ʁeˈʒimi/	sm	Sistema político ou forma de governo.		regime	/ɹeˈʒim/	/reɪˈʒiːm/	n	A political system or form of government.		régimen						régime						Regime						règim						regime												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
somos a favor / somos contra (a guerra)		somos a favor / somos contra (a guerra)	somos a favor / somos contra (a guerra)	/ˈsɔmuz ɐ fɐˈvɔɾ | ˈsɔmuʃ ˈkõtɾɐ | ɐ ˈɡɛʁɐ |/	/ˈsɔmus a faˈvɔʁ | ˈsɔmus ˈkõtɾɐ | a ˈɡɛʁɐ |/	exp	Expressão usada para declarar posição sobre um tema.		we are for / against	/wi ə˞ ˈfɔr | əˈɡɛnst/	/wi ə ˈfɔː | əˈɡenst/	exp	An expression used to declare a stance on a topic.		estamos a favor / en contra						nous sommes pour / contre						wir sind dafür / dagegen						estem a favor / en contra						siamo a favore / contro												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
respeitoso, respeitosa / respeitador, respeitadora		respeitoso, respeitosa / respeitador, respeitadora	respeitoso, respeitosa / respeitador, respeitadora	/ʁɨʃpɐjˈtɔzu | ʁɨʃpɐjˈtɔzɐ | ʁɨʃpɐjtɐˈdoɾ | ʁɨʃpɐjtɐˈdɔɾɐ/	/ʁespejˈtɔzu | ʁespejˈtɔzɐ | ʁespejtaˈdoʁ | ʁespejtaˈdɔɾɐ/	adj m/f	Que demonstra respeito por algo ou alguém.		respectful	/ɹɪˈspɛktfəl/	/rɪˈspektfᵊl/	adj	Showing respect for something or someone.		respetuoso, respetuosa						respectueux, respectueuse						respektvoll						respectuós, respectuosa						rispettoso, rispettosa												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
desenvolver-se		desenvolver-se	desenvolver-se	/dɨzẽvɔɫˈvɛɾsɨ/	/dezẽvɔwˈvɛʁsi/	v	Crescer, evoluir, progredir.		to develop	/tə dɪˈvɛləp/	/tə dɪˈveləp/	v	To grow, evolve, or progress.		desarrollarse						se développer						sich entwickeln						desenvolupar-se						svilupparsi												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
decorrer em		decorrer em	decorrer em	/dɨkuˈʁeɾ ˈɐ̃j̃/	/dekoˈʁeʁ ˈẽj̃/	v	Acontecer em determinado tempo ou lugar.		to take place in	/tə ˈtʰeɪk ˈpleɪs ˈɪn/	/tə ˈtʰeɪk ˈpleɪs ɪn/	v	To happen in a specific time or place.		tener lugar en						avoir lieu en						stattfinden in						ocórrer a						avere luogo in												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
confronto, confrontos		confronto, confrontos	o confronto, os confrontos	/u kõˈfɾõtu | uʃ kõˈfɾõtuʃ/	/u kõˈfɾõtu | uʃ kõˈfɾõtus/	sm	Conflito, embate entre grupos ou ideias.		clash, confrontation	/ˈklæʃ | ˌkɑnfɹənˈtʰeɪʃən/	/ˈklæʃ | ˌkɒnfrʌnˈtʰeɪʃᵊn/	n	A conflict or clash between groups or ideas.		confrontación						affrontement						Konfrontation						confrontació						confronto												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
polarização, polarizações		polarização, polarizações	a polarização, as polarizações	/ɐ pulɐɾizɐˈsɐ̃w̃ | ɐʃ pulɐɾizɐˈsõj̃ʃ/	/a polaɾizaˈsɐ̃w̃ | aʃ polaɾizaˈsõj̃s/	sf	Processo de divisão extrema entre grupos ou opiniões.		polarization	/ˌpoʊlə˞ɹəˈzeɪʃən/	/ˌpəʊləraɪˈzeɪʃᵊn/	n	The process of extreme division between groups or opinions.		polarización						polarisation						Polarisierung						polarització						polarizzazione												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
taragelar		taragelar	taragelar	/tɐɾɐʒɨˈlaɾ/	/taɾaʒeˈlaʁ/	v	Falar de maneira atrapalhada ou rápida.		to stammer	/tə ˈstæmə˞/	/tə ˈstæmə/	v	To speak hesitantly or with difficulty.		balbucear						bafouiller						stammeln						balbucejar						balbettare												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC Vocabulary::Speaking
tagarelo, tagarela		tagarelo, tagarela	o tagarelo, a tagarela	/u tɐɡɐˈɾɛlu | ɐ tɐɡɐˈɾɛlɐ/	/u taɡaˈɾɛlu | a taɡaˈɾɛlɐ/	s m/f	Pessoa que fala muito.		talkative	/ˈtʰɔkətɪv/	/ˈtʰɔːkətɪv/	adj	A person who talks a lot.		charlatán						bavard						geschwätzig						xarraire						chiacchierone												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Portugues::VOC Vocabulary::Speaking
festival, festivais		festival, festivais	o festival, os festivais	/u fɨʃtiˈvaɫ | uʃ fɨʃtiˈvajʃ/	/u festʃiˈvaw | uʃ festʃiˈvajs/	sm	Eventos culturais ou artísticos.		festival	/ˈfɛstəvəl/	/ˈfestɪvᵊl/	n	A cultural or artistic event.		festival						festival						Festival						festival						festival												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
questão, questões		questão, questões	a questão, as questões	/ɐ kɨˈʃtɐ̃w̃ | ɐʃ kɨˈʃtõj̃ʃ/	/a kesˈtɐ̃w̃ | aʃ kesˈtõj̃s/	sf	Pergunta ou problema a ser resolvido.		question, issue	/ˈkwɛstʃən | ˈɪˌʃu/	/ˈkwestʃən | ˈɪʃuː/	n	A query or a problem to be solved.		cuestión, pregunta						question						Frage, Angelegenheit						qüestió						questione												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
produção, produções (de Hollywood)		produção, produções (de Hollywood)	a produção, as produções	/ɐ pɾuduˈsɐ̃w̃ | ɐʃ pɾuduˈsõj̃ʃ/	/a pɾoduˈsɐ̃w̃ | aʃ pɾoduˈsõj̃s/	sf	Criação de filmes, peças ou eventos.		production	/pɹəˈdəkʃən/	/prəˈdʌkʃᵊn/	n	The creation of films, plays, or events.		producción						production						Produktion						producció						produzione												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
concorrência (cinema)		concorrência (cinema)	a concorrência	/ɐ kõkuˈʁẽsiɐ/	/a kõkoˈʁẽsiɐ/	sf	Disputa entre empresas ou pessoas no mesmo setor.		competition	/ˌkɑmpəˈtʰɪʃən/	/ˌkɒmpəˈtʰɪʃᵊn/	n	A contest between companies or individuals in the same field.		competencia						concurrence						Konkurrenz						competència						competizione												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC
cortejo (cortejo alegórico)		cortejo (cortejo alegórico)	o cortejo	/u kuɾˈtɐʒu/	/u koʁˈteʒu/	sm	Desfile festivo com temas específicos.		procession	/pɹəˈsɛʃən/	/prəˈseʃᵊn/	n	A festive parade with specific themes.		cortejo						cortège						Prozession						cortegi						corteo												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
figurantes (do cortejo alegórico)		figurantes (do cortejo alegórico)	os figurantes	/uʃ fiɡuˈɾɐ̃tɨʃ/	/uʃ fiɡuˈɾɐ̃tes/	smp	Pessoas que participam de um desfile ou espetáculo sem papel principal.		extras	/ˈɛkstɹəz/	/ˈekstrəz/	n	People who participate in a parade or performance without a main role.		figurantes						figurants						Statisten						figurants						figuranti												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
criação, criações		criação, criações	a criação, as criações	/ɐ kɾiɐˈsɐ̃w̃ | ɐʃ kɾiɐˈsõj̃ʃ/	/a kɾiaˈsɐ̃w̃ | aʃ kɾiaˈsõj̃s/	sf	Produção de algo novo, inovação.		creation	/kɹiˈeɪʃən/	/kriˈeɪʃᵊn/	n	The act of producing something new; innovation.		creación						création						Schöpfung						creació						creazione												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
destaques (os destaques do festival)		destaques (os destaques do festival)	os destaques	/uʒ dɨˈʃtakɨʃ/	/uʒ desˈtakes/	smp	Os elementos mais importantes de um evento.		highlights	/ˈhaɪˌlaɪts/	/ˈhaɪlaɪts/	n	The most important elements of an event.		destacados						points forts						Highlights						destacats						evidenze												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
cartaz, cartazes		cartaz, cartazes	o cartaz, os cartazes	/u kɐɾˈtaʃ | uʃ kɐɾˈtazɨʃ/	/u kaʁˈtaʃ | uʃ kaʁˈtazes/	sm	Anúncio ou peça gráfica para divulgar algo.		poster	/ˈpʰoʊstə˞/	/ˈpʰəʊstə/	n	A printed or graphic announcement used for promotion.		cartel						affiche						Plakat						cartell						cartellone												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
arquipélago		arquipélago	o arquipélago	/u ɐɾkiˈpɛlɐɡu/	/u aʁkiˈpɛlaɡu/	sm	Grupo de ilhas.		archipelago	/ˌɑrkəˈpʰɛləˌɡoʊ/	/ˌɑːkɪˈpʰeləɡəʊ/	n	A group of islands.		archipiélago						archipel						Archipel						arxipèlag						arcipelago												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
inteiro, inteira		inteiro, inteira	inteiro, inteira	/ĩˈtɐjɾu | ĩˈtɐjɾɐ/	/ĩˈtejɾu | ĩˈtejɾɐ/	adj m/f	Completo, sem partes faltando.		whole, entire	/ˈhoʊl | ɪnˈtʰaɪə˞/	/ˈhəʊl | ɪnˈtʰaɪə/	adj	Complete, with no missing parts.		entero, entera						entier, entière						ganz						sencer, sencera						intero, intera												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
encher-se		encher-se	encher-se	/ẽˈʃɛɾsɨ/	/ẽˈʃɛʁsi/	v	Ficar cheio de algo.		to fill up	/tə ˈfɪl ˈəp/	/tə ˈfɪl ˈʌp/	v	To become full of something.		llenarse						se remplir						sich füllen						omplir-se						riempirsi												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
instalação, instalações		instalação, instalações	a instalação, as instalações	/ɐ ĩʃtɐlɐˈsɐ̃w̃ | ɐʃ ĩʃtɐlɐˈsõj̃ʃ/	/a ĩstalaˈsɐ̃w̃ | aʃ ĩstalaˈsõj̃s/	sf	Espaço ou estrutura montada para um evento.		installation	/ˌɪnstəˈleɪʃən/	/ˌɪnstəˈleɪʃᵊn/	n	A space or structure set up for an event.		instalación						installation						Installation						installació						installazione												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
tapetes florais		tapetes florais	os tapetes florais	/uʃ tɐˈpɛtɨʃ fluˈɾajʃ/	/uʃ taˈpɛtes floˈɾajs/	smp	Decorações feitas com flores no chão.		flower carpets	/ˈflaʊə˞ ˈkʰɑrpəts/	/ˈflaʊə ˈkʰɑːpɪts/	n	Decorations made with flowers on the ground.		alfombras florales						tapis de fleurs						Blumenteppiche						catifes florals						tappeti floreali												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
floral, florais		floral, florais	floral, florais	/fluˈɾaɫ | fluˈɾajʃ/	/floˈɾaw | floˈɾajs/	adj m/f	Relacionado a flores.		flower-related	/ˈflaʊə˞ɹɪˈleɪtəd/	/ˈflaʊərɪˈleɪtɪd/	adj	Connected to flowers.		relacionado con flores						floral						blumenbezogen						floral						floreale												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
madeirense		madeirense	o madeirense, a madeirense	/u mɐdɐjˈɾẽsɨ | ɐ mɐdɐjˈɾẽsɨ/	/u madejˈɾẽsi | a madejˈɾẽsi/	s m/f	Natural da ilha da Madeira.		from Madeira	/fɹəm məˈdɪrə/	/frəm məˈdɪərə/	adj	Native to the island of Madeira.		madeirense						madérien, madérienne						madeirisch						madeirenc, madeirenca						madeirense												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
chegada da primavera		chegada da primavera	a chegada da primavera	/ɐ ʃɨˈɡadɐ dɐ pɾimɐˈveɾɐ/	/a ʃeˈɡadɐ dɐ pɾimaˈveɾɐ/	sf	Início da estação da primavera.		arrival of spring	/ə˞ˈɹaɪvəl əv ˈspɹɪŋ/	/əˈraɪvᵊl əv ˈsprɪŋ/	n	The beginning of the spring season.		llegada de la primavera						arrivée du printemps						Frühlingsbeginn						arribada de la primavera						arrivo della primavera												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::VOC
